symbol,open,high,low,close,epoch,timestamp
BOOM1000,14471.984,14471.984,14471.984,14471.984,1775207100,2026-04-03T11:05:00
CRASH1000,5485.972,5486.575,5470.59,5471.652,1775207400,2026-04-03T11:10:00
CRASH1000,5471.658,5473.189,5469.808,5469.971,1775207700,2026-04-03T11:15:00
CRASH1000,5469.982,5471.749,5469.982,5471.749,1775208000,2026-04-03T11:20:00
CRASH1000,5471.757,5473.374,5471.757,5473.374,1775208300,2026-04-03T11:25:00
CRASH1000,5473.375,5474.987,5473.375,5474.987,1775208600,2026-04-03T11:30:00
CRASH1000,5474.989,5476.586,5474.989,5476.586,1775208900,2026-04-03T11:35:00
CRASH1000,5476.595,5478.225,5476.595,5478.225,1775209200,2026-04-03T11:40:00
CRASH1000,5478.226,5479.909,5478.226,5479.909,1775209500,2026-04-03T11:45:00
CRASH1000,5479.915,5481.667,5479.915,5481.667,1775209800,2026-04-03T11:50:00
CRASH1000,5481.678,5483.494,5481.678,5483.494,1775210100,2026-04-03T11:55:00
CRASH1000,5483.505,5485.209,5483.505,5485.209,1775210400,2026-04-03T12:00:00
CRASH1000,5485.216,5486.577,5476.575,5476.833,1775210700,2026-04-03T12:05:00
CRASH1000,5476.84,5476.879,5469.561,5471.229,1775211000,2026-04-03T12:10:00
CRASH1000,5471.233,5472.826,5471.233,5472.826,1775211300,2026-04-03T12:15:00
CRASH1000,5472.827,5474.446,5472.827,5474.446,1775211600,2026-04-03T12:20:00
CRASH1000,5474.456,5475.33,5470.404,5471.094,1775211900,2026-04-03T12:25:00
CRASH1000,5471.096,5472.815,5471.096,5472.815,1775212200,2026-04-03T12:30:00
CRASH1000,5472.823,5474.086,5467.598,5467.926,1775212500,2026-04-03T12:35:00
CRASH1000,5467.929,5469.605,5467.929,5469.605,1775212800,2026-04-03T12:40:00
CRASH1000,5469.614,5471.28,5469.614,5471.28,1775213100,2026-04-03T12:45:00
CRASH1000,5471.287,5472.932,5471.287,5472.932,1775213400,2026-04-03T12:50:00
CRASH1000,5472.937,5474.594,5472.937,5474.594,1775213700,2026-04-03T12:55:00
CRASH1000,5474.605,5476.208,5474.605,5476.208,1775214000,2026-04-03T13:00:00
CRASH1000,5476.211,5477.885,5476.211,5477.885,1775214300,2026-04-03T13:05:00
